winery;wine;year;rating;num_reviews;country;region;price;type;body;acidity
Felix Solis;Mucho Mas Tinto;N,V,;4.2;32624;Espana;Vino de Espana;4.99;Red;4;2.33
Baluarte;Muscat;2020;4.2;842;Espana;Navarra;5.5;NA;NA;NA
Mocen;Seleccion Especial Verdejo;2021;4.3;32;Espana;Rueda;6.26;Verdejo;3;2.76
Familia Torres;San Valentin Parellada;2019;4.3;7401;Espana;Cataluna;6.95;NA;NA;NA
Marques de Caceres;Rioja Satinela Blanco Semidulce;2020;4.2;630;Espana;Rioja;6.99;Rioja White;3;2.92
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2,00
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2,00
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.01
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.01
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.02
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.04
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.04
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.05
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.05
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.06
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.06
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.06
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.07
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.07
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.07
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.07
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.08
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.09
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.1
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.1
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.1
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.1
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.11
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.11
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.11
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.14
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.14
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.14
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.16
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.17
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.18
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.18
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.19
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.21
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.22
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.22
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.22
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.23
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.23
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.24
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.24
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.25
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.25
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.25
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.25
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.25
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.25
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.26
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.26
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.27
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.28
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.28
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.28
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.29
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.29
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.3
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.3
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.32
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.34
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.34
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.35
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.35
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.37
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.38
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.4
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.42
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.42
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.42
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.43
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.43
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.43
Lustau;Candela Cream Dulce Sweet;N,V,;4.2;405;Espana;Jerez-Xeres-Sherry;7.1;Sherry;4;2.43
